Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
Q9HD42,CHM1A_HUMAN,CHMP1A,sp|Q9HD42|CHM1A_HUMAN,Charged multivesicular body protein 1a,196,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.45975498482548,0.0,16.45975498482548,0 min
Q9Y2Q5,LTOR2_HUMAN,LAMTOR2,sp|Q9Y2Q5|LTOR2_HUMAN,Ragulator complex protein LAMTOR2,125,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.44154381358362,0.0,16.44154381358362,0 min
Q6PD74,AAGAB_HUMAN,AAGAB,sp|Q6PD74|AAGAB_HUMAN,Alpha- and gamma-adaptin-binding protein p34,315,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.438195207822,0.0,16.438195207822,0 min
Q96EY5,MB12A_HUMAN,MVB12A,sp|Q96EY5|MB12A_HUMAN,Multivesicular body subunit 12A,273,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.437813505172684,0.0,16.437813505172684,0 min
Q9Y6K0,CEPT1_HUMAN,CEPT1,sp|Q9Y6K0|CEPT1_HUMAN,Choline/ethanolaminephosphotransferase 1,416,Homo sapiens,1:Experimental evidence at protein level,0.9317,0.999,16.426811411965254,0.0,16.426811411965254,0 min
Q9GZR5,ELOV4_HUMAN,ELOVL4,sp|Q9GZR5|ELOV4_HUMAN,Elongation of very long chain fatty acids protein 4,314,Homo sapiens,1:Experimental evidence at protein level,0.9719,0.999,16.425050967597638,0.0,16.425050967597638,0 min
Q6NW29,RWDD4_HUMAN,RWDD4,sp|Q6NW29|RWDD4_HUMAN,RWD domain-containing protein 4,188,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.412084357255402,0.0,16.412084357255402,0 min
P16104,H2AX_HUMAN,H2AX,sp|P16104|H2AX_HUMAN,Histone H2AX,143,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.348398178835353,0.0,16.348398178835353,0 min
P63027,VAMP2_HUMAN,VAMP2,sp|P63027|VAMP2_HUMAN,Vesicle-associated membrane protein 2,116,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.306702270168316,0.0,16.306702270168316,0 min
P61916,NPC2_HUMAN,NPC2,sp|P61916|NPC2_HUMAN,NPC intracellular cholesterol transporter 2,151,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.255355227407854,0.0,16.255355227407854,0 min
Q9NSB4,KRT82_HUMAN,KRT82,sp|Q9NSB4|KRT82_HUMAN,"Keratin, type II cuticular Hb2",513,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.998,16.230625923717376,0.0,16.230625923717376,0 min
Q86XR8,CEP57_HUMAN,CEP57,sp|Q86XR8|CEP57_HUMAN,Centrosomal protein of 57 kDa,500,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.21066278346528,0.0,16.21066278346528,0 min
Q9Y5Y2,NUBP2_HUMAN,NUBP2,sp|Q9Y5Y2|NUBP2_HUMAN,Cytosolic Fe-S cluster assembly factor NUBP2,271,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.20989700000848,0.0,16.20989700000848,0 min
Q9Y5V0,ZN706_HUMAN,ZNF706,sp|Q9Y5V0|ZN706_HUMAN,Zinc finger protein 706,76,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,16.20324867279064,0.0,16.20324867279064,0 min
Q9BUR4,TCAB1_HUMAN,WRAP53,sp|Q9BUR4|TCAB1_HUMAN,Telomerase Cajal body protein 1,548,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.129534983527655,0.0,16.129534983527655,0 min
P60033,CD81_HUMAN,CD81,sp|P60033|CD81_HUMAN,CD81 antigen,236,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.122222162136232,0.0,16.122222162136232,0 min
P67775,PP2AA_HUMAN,PPP2CA,sp|P67775|PP2AA_HUMAN,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,309,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.109367497681838,0.0,16.109367497681838,0 min
P18858,DNLI1_HUMAN,LIG1,sp|P18858|DNLI1_HUMAN,DNA ligase 1,919,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,16.104171188616988,0.0,16.104171188616988,0 min
Q8N0U8,VKORL_HUMAN,VKORC1L1,sp|Q8N0U8|VKORL_HUMAN,Vitamin K epoxide reductase complex subunit 1-like protein 1,176,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.08065360406106,0.0,16.08065360406106,0 min
Q8IV50,LYSM2_HUMAN,LYSMD2,sp|Q8IV50|LYSM2_HUMAN,LysM and putative peptidoglycan-binding domain-containing protein 2,215,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.07290634591192,0.0,16.07290634591192,0 min
Q9Y3E1,HDGR3_HUMAN,HDGFL3,sp|Q9Y3E1|HDGR3_HUMAN,Hepatoma-derived growth factor-related protein 3,203,Homo sapiens,1:Experimental evidence at protein level,0.987,0.999,16.01086168617572,0.0,16.01086168617572,0 min
Q8NBT2,SPC24_HUMAN,SPC24,sp|Q8NBT2|SPC24_HUMAN,Kinetochore protein Spc24,197,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.00592800249432,0.0,16.00592800249432,0 min
P22415,USF1_HUMAN,USF1,sp|P22415|USF1_HUMAN,Upstream stimulatory factor 1,310,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.005884812531654,0.0,16.005884812531654,0 min
P62834,RAP1A_HUMAN,RAP1A,sp|P62834|RAP1A_HUMAN,Ras-related protein Rap-1A,184,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.00365076499346,0.0,16.00365076499346,0 min
Q9NQ88,TIGAR_HUMAN,TIGAR,sp|Q9NQ88|TIGAR_HUMAN,"Fructose-2,6-bisphosphatase TIGAR",270,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.920422178298395,0.0,15.920422178298395,0 min
Q16626,MEA1_HUMAN,MEA1,sp|Q16626|MEA1_HUMAN,Male-enhanced antigen 1,185,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.912104217590443,0.0,15.912104217590443,0 min
Q6P1K2,PMF1_HUMAN,PMF1,sp|Q6P1K2|PMF1_HUMAN,Polyamine-modulated factor 1,205,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.897215911767454,0.0,15.897215911767454,0 min
Q8IXM3,RM41_HUMAN,MRPL41,sp|Q8IXM3|RM41_HUMAN,"39S ribosomal protein L41, mitochondrial",137,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.885374457065021,0.0,15.885374457065021,0 min
A0A0U1RRE5,NBDY_HUMAN,NBDY,sp|A0A0U1RRE5|NBDY_HUMAN,Negative regulator of P-body association,68,Homo sapiens,1:Experimental evidence at protein level,0.9996,0.999,15.854164927165806,0.0,15.854164927165806,0 min
Q7Z4G1,COMD6_HUMAN,COMMD6,sp|Q7Z4G1|COMD6_HUMAN,COMM domain-containing protein 6,85,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.831654860147717,0.0,15.831654860147717,0 min
Q8NB37,GALD1_HUMAN,GATD1,sp|Q8NB37|GALD1_HUMAN,Glutamine amidotransferase-like class 1 domain-containing protein 1,220,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.80320289046003,0.0,15.80320289046003,0 min
Q86SX6,GLRX5_HUMAN,GLRX5,sp|Q86SX6|GLRX5_HUMAN,"Glutaredoxin-related protein 5, mitochondrial",157,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.772769726430885,0.0,15.772769726430885,0 min
